DAPPU|Gene=DAPPUDRAFT_307788|UniProtKB=E9G121	Putative uncharacterized protein;DAPPUDRAFT_307788;ortholog	40S RIBOSOMAL PROTEIN S16 (PTHR21569:SF4)	structural constituent of ribosome;RNA binding	translation	ribonucleoprotein complex	ribonucleoprotein;ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_92111|UniProtKB=E9FZ54	Putative uncharacterized protein;DAPPUDRAFT_92111;ortholog	40S RIBOSOMAL PROTEIN S26-RELATED (PTHR12538:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_307331|UniProtKB=E9H1S8	Putative uncharacterized protein;DAPPUDRAFT_307331;ortholog	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A0 (PTHR24012:SF339)	catalytic activity;structural constituent of ribosome;poly(A) RNA binding	DNA replication;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome;mRNA polyadenylation;RNA splicing, via transesterification reactions;rRNA metabolic process;protein metabolic process;cell cycle	ribonucleoprotein complex	mRNA polyadenylation factor;mRNA splicing factor;ribonucleoprotein;ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_215354|UniProtKB=E9H2T3	Putative uncharacterized protein;DAPPUDRAFT_215354;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT D (PTHR12399:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_329527|UniProtKB=E9HGV5	DNA topoisomerase 2;DAPPUDRAFT_329527;ortholog	DNA TOPOISOMERASE 2 (PTHR10169:SF38)	pyrophosphatase activity;DNA topoisomerase activity;DNA topoisomerase activity	reproduction;phosphate-containing compound metabolic process;nitrogen compound metabolic process;catabolic process;biosynthetic process;DNA replication;DNA recombination;meiosis;chromosome segregation;organelle organization	nucleus;nuclear chromosome;intracellular	DNA topoisomerase;isomerase;enzyme modulator	DNA replication->DNA Topoisomerase;;DNA replication->Topoisomerase;;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_301194|UniProtKB=E9HGR4	Putative uncharacterized protein;DAPPUDRAFT_301194;ortholog	LYSINE-SPECIFIC DEMETHYLASE LID (PTHR10694:SF8)	sequence-specific DNA binding transcription factor activity;sequence-specific DNA binding transcription factor activity	transcription from RNA polymerase II promoter		zinc finger transcription factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_206128|UniProtKB=E9FV80	Putative uncharacterized protein;DAPPUDRAFT_206128;ortholog	60S RIBOSOMAL PROTEIN L3 (PTHR11363:SF5)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_307666|UniProtKB=E9H3T0	Putative uncharacterized protein;DAPPUDRAFT_307666;ortholog	NUCLEOLIN 1-RELATED (PTHR24012:SF330)	catalytic activity;structural constituent of ribosome;poly(A) RNA binding	DNA replication;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome;mRNA polyadenylation;RNA splicing, via transesterification reactions;rRNA metabolic process;protein metabolic process;cell cycle	ribonucleoprotein complex	mRNA polyadenylation factor;mRNA splicing factor;ribonucleoprotein;ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_319965|UniProtKB=E9GNF0	Putative uncharacterized protein;DAPPUDRAFT_319965;ortholog	GH08269P (PTHR13586:SF0)	RNA binding	RNA catabolic process		RNA binding protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_231062|UniProtKB=E9GN88	Putative uncharacterized protein;DAPPUDRAFT_231062;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 2 SUBUNIT 3 (PTHR23115:SF9)	GTPase activity;translation initiation factor activity;translation elongation factor activity;translation initiation factor activity;translation elongation factor activity;protein binding;translation initiation factor activity;translation elongation factor activity	translation;regulation of translation		translation elongation factor;translation initiation factor;hydrolase;G-protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303760|UniProtKB=E9GHX8	Putative uncharacterized protein;DAPPUDRAFT_303760;ortholog	CLUSTERED MITOCHONDRIA PROTEIN HOMOLOG (PTHR12601:SF6)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306633|UniProtKB=E9GXS2	Putative uncharacterized protein;DAPPUDRAFT_306633;ortholog	40S RIBOSOMAL PROTEIN S3 (PTHR11760:SF9)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302804|UniProtKB=E9GEY1	Eukaryotic translation initiation factor 3 subunit E;DAPPUDRAFT_302804;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT E (PTHR10317:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_329113|UniProtKB=E9HFQ5	Ubiquitin carboxyl-terminal hydrolase;DAPPUDRAFT_329113;ortholog	SUBFAMILY NOT NAMED (PTHR24006:SF421)	cysteine-type peptidase activity;ubiquitin-protein ligase activity;mRNA binding	RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome;RNA splicing, via transesterification reactions;proteolysis		cysteine protease;mRNA splicing factor;ubiquitin-protein ligase;cysteine protease					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_187913|UniProtKB=E9GCC8	Putative uncharacterized protein;DAPPUDRAFT_187913;ortholog	SERINE--TRNA LIGASE, CYTOPLASMIC (PTHR11778:SF0)	aminoacyl-tRNA ligase activity;RNA binding	translation		RNA binding protein;aminoacyl-tRNA synthetase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_304799|UniProtKB=E9FUY1	ABC protein, subfamily ABCF;DAPPUDRAFT_304799;ortholog	ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 2 (PTHR19211:SF15)	ATPase activity, coupled to transmembrane movement of substances;transmembrane transporter activity;translation elongation factor activity;translation elongation factor activity;translation elongation factor activity	translation;transport;regulation of translation		ATP-binding cassette (ABC) transporter;translation elongation factor;hydrolase					Daphnia pulex
