DAPPU|Gene=DAPPUDRAFT_111031|UniProtKB=E9H7X5	Putative uncharacterized protein;DAPPUDRAFT_111031;ortholog	TRANSLATIONAL ACTIVATOR GCN1 (PTHR23346:SF7)	kinase activity;protein binding;kinase regulator activity	translation;cellular protein modification process;regulation of catalytic activity		kinase modulator					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_223934|UniProtKB=E9GER2	Putative uncharacterized protein;DAPPUDRAFT_223934;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT L (PTHR13242:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;protein folding;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302797|UniProtKB=E9GEV7	Putative uncharacterized protein;DAPPUDRAFT_302797;ortholog	RIBOSOMAL PROTEIN S15A (PTHR11758:SF4)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230702|UniProtKB=E9GB46	Putative uncharacterized protein;DAPPUDRAFT_230702;ortholog	60S RIBOSOMAL PROTEIN L28 (PTHR10544:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_231875|UniProtKB=E9HTS2	Putative uncharacterized protein;DAPPUDRAFT_231875;ortholog	60S RIBOSOMAL PROTEIN L9 (PTHR11655:SF16)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303176|UniProtKB=E9FTC5	Putative uncharacterized protein;DAPPUDRAFT_303176;ortholog	CYSTEINE--TRNA LIGASE, CYTOPLASMIC (PTHR10890:SF3)	aminoacyl-tRNA ligase activity	nitrogen compound metabolic process;biosynthetic process;tRNA metabolic process;cellular amino acid metabolic process;translation;cellular process	cytoplasm	RNA binding protein;aminoacyl-tRNA synthetase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_244975|UniProtKB=E9GMB1	Putative uncharacterized protein;DAPPUDRAFT_244975;ortholog	ATP-DEPENDENT RNA HELICASE DDX6-RELATED (PTHR24031:SF76)	RNA helicase activity;translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	nucleobase-containing compound metabolic process;translation;regulation of translation		RNA helicase;translation initiation factor;helicase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230714|UniProtKB=E9GBH6	Putative uncharacterized protein;DAPPUDRAFT_230714;ortholog	40S RIBOSOMAL PROTEIN S11 (PTHR10744:SF9)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_92111|UniProtKB=E9FZ54	Putative uncharacterized protein;DAPPUDRAFT_92111;ortholog	40S RIBOSOMAL PROTEIN S26-RELATED (PTHR12538:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_215354|UniProtKB=E9H2T3	Putative uncharacterized protein;DAPPUDRAFT_215354;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT D (PTHR12399:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302417|UniProtKB=E9HN52	Putative uncharacterized protein;DAPPUDRAFT_302417;ortholog	TRIFUNCTIONAL ENZYME SUBUNIT ALPHA, MITOCHONDRIAL (PTHR23309:SF9)	oxidoreductase activity;hydro-lyase activity;racemase and epimerase activity	carbohydrate metabolic process;fatty acid beta-oxidation;translation		dehydrogenase;hydratase;epimerase/racemase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_206128|UniProtKB=E9FV80	Putative uncharacterized protein;DAPPUDRAFT_206128;ortholog	60S RIBOSOMAL PROTEIN L3 (PTHR11363:SF5)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_301703|UniProtKB=E9HJT8	Putative uncharacterized protein;DAPPUDRAFT_301703;ortholog	40S RIBOSOMAL PROTEIN S17-RELATED (PTHR10732:SF0)		biosynthetic process;translation;cellular process;organelle organization;cellular component biogenesis	ribosome;organelle;cytosol	ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_231062|UniProtKB=E9GN88	Putative uncharacterized protein;DAPPUDRAFT_231062;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 2 SUBUNIT 3 (PTHR23115:SF9)	GTPase activity;translation initiation factor activity;translation elongation factor activity;translation initiation factor activity;translation elongation factor activity;protein binding;translation initiation factor activity;translation elongation factor activity	translation;regulation of translation		translation elongation factor;translation initiation factor;hydrolase;G-protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303760|UniProtKB=E9GHX8	Putative uncharacterized protein;DAPPUDRAFT_303760;ortholog	CLUSTERED MITOCHONDRIA PROTEIN HOMOLOG (PTHR12601:SF6)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306633|UniProtKB=E9GXS2	Putative uncharacterized protein;DAPPUDRAFT_306633;ortholog	40S RIBOSOMAL PROTEIN S3 (PTHR11760:SF9)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_227683|UniProtKB=E9H862	Putative uncharacterized protein;DAPPUDRAFT_227683;ortholog	BIFUNCTIONAL GLUTAMATE/PROLINE--TRNA LIGASE (PTHR10119:SF15)	aminoacyl-tRNA ligase activity	translation	cytoplasm	aminoacyl-tRNA synthetase	Heme biosynthesis->Glutamyl-tRNA-synthetase;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302804|UniProtKB=E9GEY1	Eukaryotic translation initiation factor 3 subunit E;DAPPUDRAFT_302804;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT E (PTHR10317:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_316089|UniProtKB=E9GBP0	Putative uncharacterized protein;DAPPUDRAFT_316089;ortholog	ISOLEUCINE--TRNA LIGASE, CYTOPLASMIC (PTHR11946:SF11)	aminoacyl-tRNA ligase activity	translation		aminoacyl-tRNA synthetase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_187913|UniProtKB=E9GCC8	Putative uncharacterized protein;DAPPUDRAFT_187913;ortholog	SERINE--TRNA LIGASE, CYTOPLASMIC (PTHR11778:SF0)	aminoacyl-tRNA ligase activity;RNA binding	translation		RNA binding protein;aminoacyl-tRNA synthetase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_304799|UniProtKB=E9FUY1	ABC protein, subfamily ABCF;DAPPUDRAFT_304799;ortholog	ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 2 (PTHR19211:SF15)	ATPase activity, coupled to transmembrane movement of substances;transmembrane transporter activity;translation elongation factor activity;translation elongation factor activity;translation elongation factor activity	translation;transport;regulation of translation		ATP-binding cassette (ABC) transporter;translation elongation factor;hydrolase					Daphnia pulex
